City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Banda Aceh,ID,5.5577,95.3222,80.78,77,100,13.13,overcast clouds
142,Kjollefjord,NO,70.9457,27.3465,44.78,88,100,31.72,overcast clouds
143,Bengkulu,ID,-3.8004,102.2655,74.61,85,54,3.96,broken clouds
144,Ventspils,LV,57.3894,21.5606,53.53,94,40,1.14,scattered clouds
145,Savelugu,GH,9.6244,-0.8253,79.54,64,97,7.09,overcast clouds
146,Alice Springs,AU,-23.7,133.8833,45.95,57,2,5.75,clear sky
147,Hualmay,PE,-11.0964,-77.6139,64.36,81,35,9.8,scattered clouds
148,Kupang,ID,-10.1667,123.5833,66.78,82,20,3.44,few clouds
149,Irece,BR,-11.3042,-41.8558,68.83,62,84,15.93,broken clouds
150,Adrar,MR,20.5022,-10.0711,92.12,18,15,8.84,few clouds
151,Petersburg,US,37.2279,-77.4019,86.88,56,40,5.75,scattered clouds
152,Ponta Do Sol,PT,32.6667,-17.1,72.23,60,3,6.82,clear sky
153,Marica,BR,-22.9194,-42.8186,69.75,77,0,12.66,clear sky
154,Paracuru,BR,-3.41,-39.0306,80.62,77,18,14.83,few clouds
155,Dongning,CN,44.0622,131.1207,84.67,61,98,2.37,overcast clouds
156,Necochea,AR,-38.5473,-58.7368,50.04,80,100,13.24,overcast clouds
157,Mehamn,NO,71.0357,27.8492,44.6,89,100,32.35,overcast clouds
158,Delhi,IN,28.6667,77.2167,88.3,94,75,0.0,mist
159,Vanimo,PG,-2.6741,141.3028,78.28,87,100,2.95,overcast clouds
160,Arraial Do Cabo,BR,-22.9661,-42.0278,64.36,77,0,4.61,clear sky
161,Szczecinek,PL,53.7079,16.6994,62.35,84,14,5.5,few clouds
162,Lewisville,US,33.0462,-96.9942,97.18,50,40,1.01,scattered clouds
163,Calabozo,VE,8.9242,-67.4293,77.61,88,81,2.3,broken clouds
164,Kybartai,LT,54.6386,22.7632,58.98,98,9,5.64,clear sky
165,Tabuk,PH,17.4189,121.4443,78.96,84,100,0.38,overcast clouds
166,Pauini,BR,-7.7136,-66.9764,81.37,46,51,1.01,broken clouds
167,Yining,CN,29.0361,114.5636,76.5,93,35,3.31,scattered clouds
168,Tiksi,RU,71.6872,128.8694,45.32,82,93,5.64,overcast clouds
169,Narsaq,GL,60.9167,-46.05,55.62,69,9,3.33,clear sky
170,Nyurba,RU,63.2842,118.3319,67.1,61,10,4.54,clear sky
171,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,11.5,clear sky
172,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,91,1.99,overcast clouds
173,Takoradi,GH,4.8845,-1.7554,74.46,84,75,7.02,broken clouds
174,Thompson,CA,55.7435,-97.8558,69.96,43,90,16.11,smoke
175,Panaba,MX,21.2833,-88.2667,88.72,55,95,16.71,overcast clouds
